id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
8706.0,47415.0,18.0,2023-01-04,18.4
8707.0,47415.0,18.0,2023-01-05,17.98
8708.0,47415.0,18.0,2023-01-06,18.99
8709.0,47415.0,18.0,2023-01-07,19.18
8710.0,47415.0,18.0,2023-01-08,18.34
8711.0,47415.0,18.0,2023-01-09,17.74
8712.0,47415.0,18.0,2023-01-10,16.9
8713.0,47415.0,18.0,2023-01-11,16.7
8714.0,47415.0,18.0,2023-01-12,16.94
8715.0,47415.0,18.0,2023-01-13,16.93
8716.0,47415.0,18.0,2023-01-14,17.19
8717.0,47415.0,18.0,2023-01-15,16.93
8718.0,47415.0,18.0,2023-01-16,15.98
8719.0,47415.0,18.0,2023-01-17,15.5
8720.0,47415.0,18.0,2023-01-18,16.32
8721.0,47415.0,18.0,2023-01-19,16.4
8722.0,47415.0,18.0,2023-01-20,16.46
8723.0,47415.0,18.0,2023-01-21,16.4
8724.0,47415.0,18.0,2023-01-22,17.23
8725.0,47415.0,18.0,2023-01-23,17.86
8726.0,47415.0,18.0,2023-01-24,17.88
8727.0,47415.0,18.0,2023-01-25,17.7
8728.0,47415.0,18.0,2023-01-26,17.65
8729.0,47415.0,18.0,2023-01-27,17.45
8730.0,47415.0,18.0,2023-01-28,17.2
8731.0,47415.0,18.0,2023-01-29,17.0
8732.0,47415.0,18.0,2023-01-30,16.4
8733.0,47415.0,18.0,2023-01-31,17.57
8735.0,47415.0,18.0,2023-02-01,16.17
8736.0,47415.0,18.0,2023-02-02,17.11
8737.0,47415.0,18.0,2023-02-03,15.58
8738.0,47415.0,18.0,2023-02-04,15.49
8739.0,47415.0,18.0,2023-02-05,15.58
8740.0,47415.0,18.0,2023-02-06,15.2
8741.0,47415.0,18.0,2023-02-07,14.95
8742.0,47415.0,18.0,2023-02-08,14.65
8743.0,47415.0,18.0,2023-02-09,16.15
8744.0,47415.0,18.0,2023-02-10,16.11
8745.0,47415.0,18.0,2023-02-11,16.28
8746.0,47415.0,18.0,2023-02-12,15.5
8747.0,47415.0,18.0,2023-02-13,15.0
8748.0,47415.0,18.0,2023-02-14,14.4
8749.0,47415.0,18.0,2023-02-15,14.0
8750.0,47415.0,18.0,2023-02-16,14.4
8751.0,47415.0,18.0,2023-02-17,13.6
8752.0,47415.0,18.0,2023-02-18,13.48
8753.0,47415.0,18.0,2023-02-19,13.8
8754.0,47415.0,18.0,2023-02-20,13.75
8755.0,47415.0,18.0,2023-02-21,13.7
8756.0,47415.0,18.0,2023-02-22,14.45
8757.0,47415.0,18.0,2023-02-23,14.56
8758.0,47415.0,18.0,2023-02-24,14.81
8759.0,47415.0,18.0,2023-02-25,14.64
8760.0,47415.0,18.0,2023-02-26,14.08
8761.0,47415.0,18.0,2023-02-27,13.82
8762.0,47415.0,18.0,2023-02-28,12.8
0.0,0.0,0.0,2023-03-01,14.17
0.0,0.0,0.0,2023-03-02,14.13
0.0,0.0,0.0,2023-03-03,14.06
