id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
8591,46315,10,2022-09-16,17.3
8592,46315,10,2022-09-17,19.0
8593,46315,10,2022-09-18,18.46
8594,46315,10,2022-09-19,20.22
8595,46315,10,2022-09-20,18.69
8596,46315,10,2022-09-21,20.06
8597,46315,10,2022-09-22,19.93
8598,46315,10,2022-09-23,19.1
8599,46315,10,2022-09-24,19.43
8600,46315,10,2022-09-25,18.13
8601,46315,10,2022-09-26,18.85
8602,46315,10,2022-09-27,20.27
8603,46315,10,2022-09-28,18.8
8604,46315,10,2022-09-29,18.91
8605,46315,10,2022-09-30,18.38
8607,46315,10,2022-10-01,18.41
8608,46315,10,2022-10-02,19.45
8609,46315,10,2022-10-03,18.97
8610,46315,10,2022-10-04,20.72
8611,46315,10,2022-10-05,19.95
8612,46315,10,2022-10-06,20.14
8613,46315,10,2022-10-07,20.44
8614,46315,10,2022-10-08,20.08
8615,46315,10,2022-10-09,19.32
8616,46315,10,2022-10-10,19.35
8617,46315,10,2022-10-11,19.95
8618,46315,10,2022-10-12,19.96
8619,46315,10,2022-10-13,19.76
8620,46315,10,2022-10-14,19.2
8621,46315,10,2022-10-15,19.1
8622,46315,10,2022-10-16,19.09
8623,46315,10,2022-10-17,22.15
8624,46315,10,2022-10-18,22.11
8625,46315,10,2022-10-19,19.69
8626,46315,10,2022-10-20,18.69
8627,46315,10,2022-10-21,19.05
8628,46315,10,2022-10-22,18.99
8629,46315,10,2022-10-23,18.47
8630,46315,10,2022-10-24,18.09
8631,46315,10,2022-10-25,17.4
8632,46315,10,2022-10-26,11.83
8633,46315,10,2022-10-27,10.0
8634,46315,10,2022-10-28,17.1
8635,46315,10,2022-10-29,17.4
8636,46315,10,2022-10-30,16.83
8637,46315,10,2022-10-31,16.5
8639,46315,10,2022-11-01,16.7
8640,46315,10,2022-11-02,16.5
8641,46315,10,2022-11-03,16.65
8642,46315,10,2022-11-04,18.83
8643,46315,10,2022-11-05,19.3
8644,46315,10,2022-11-06,17.33
8645,46315,10,2022-11-07,17.08
8646,46315,10,2022-11-08,17.45
8647,46315,10,2022-11-09,19.55
8648,46315,10,2022-11-10,19.51
8649,46315,10,2022-11-11,18.29
8650,46315,10,2022-11-12,19.3
8651,46315,10,2022-11-13,18.35
8652,46315,10,2022-11-14,18.68
8653,46315,10,2022-11-15,18.78
8654,46315,10,2022-11-16,19.55
8655,46315,10,2022-11-17,18.32
8656,46315,10,2022-11-18,19.0
8657,46315,10,2022-11-19,19.43
8658,46315,10,2022-11-20,18.04
8659,46315,10,2022-11-21,19.29
8660,46315,10,2022-11-22,20.3
8661,46315,10,2022-11-23,18.6
8662,46315,10,2022-11-24,18.6
8663,46315,10,2022-11-25,19.7
8664,46315,10,2022-11-26,19.15
8665,46315,10,2022-11-27,18.62
8666,46315,10,2022-11-28,15.55
8667,46315,10,2022-11-29,15.0
8668,46315,10,2022-11-30,14.67
8670,46315,10,2022-12-01,16.07
8671,46315,10,2022-12-02,15.42
8672,46315,10,2022-12-03,16.1
8673,46315,10,2022-12-04,15.55
8674,46315,10,2022-12-05,16.2
8675,46315,10,2022-12-06,18.1
8676,46315,10,2022-12-07,17.2
8677,46315,10,2022-12-08,20.16
8678,46315,10,2022-12-09,19.55
8679,46315,10,2022-12-10,19.87
8680,46315,10,2022-12-11,18.3
8681,46315,10,2022-12-12,18.2
8682,46315,10,2022-12-13,18.5
8683,46315,10,2022-12-14,17.5
8684,46315,10,2022-12-15,18.4
8685,46315,10,2022-12-16,18.32
8686,46315,10,2022-12-17,17.54
8687,46315,10,2022-12-18,17.25
8688,46315,10,2022-12-19,19.08
8689,46315,10,2022-12-20,19.27
8690,46315,10,2022-12-21,18.75
8691,46315,10,2022-12-22,18.47
8692,46315,10,2022-12-23,18.65
8693,46315,10,2022-12-24,18.8
8694,46315,10,2022-12-25,19.2
8695,46315,10,2022-12-26,19.05
8696,46315,10,2022-12-27,18.83
8697,46315,10,2022-12-28,19.44
8698,46315,10,2022-12-29,19.1
8699,46315,10,2022-12-30,18.19
8700,46315,10,2022-12-31,19.53
8703,46315,10,2023-01-01,18.61
8704,46315,10,2023-01-02,18.45
8705,46315,10,2023-01-03,18.58
8706,46315,10,2023-01-04,18.4
8707,46315,10,2023-01-05,17.98
8708,46315,10,2023-01-06,18.99
8709,46315,10,2023-01-07,19.18
8710,46315,10,2023-01-08,18.34
8711,46315,10,2023-01-09,17.74
8712,46315,10,2023-01-10,16.9
8713,46315,10,2023-01-11,16.7
8714,46315,10,2023-01-12,16.94
8715,46315,10,2023-01-13,16.93
8716,46315,10,2023-01-14,17.19
8717,46315,10,2023-01-15,16.93
8718,46315,10,2023-01-16,15.98
8719,46315,10,2023-01-17,15.5
8720,46315,10,2023-01-18,16.32
8721,46315,10,2023-01-19,16.4
8722,46315,10,2023-01-20,12.0
8723,46315,10,2023-01-21,12.5
8724,46315,10,2023-01-22,17.23
8725,46315,10,2023-01-23,17.86
8726,46315,10,2023-01-24,17.88
8727,46315,10,2023-01-25,17.7
8728,46315,10,2023-01-26,17.65
8729,46315,10,2023-01-27,17.45
