id_waktu,id_lokasi,date,jumlah_produksi,id_unit_peternakan
8418.0,47415.0,2022-04-01,10.2,
8418.0,47400.0,2022-04-01,10.2,
8419.0,47400.0,2022-04-02,10.35,
8419.0,47415.0,2022-04-02,10.35,
8420.0,47400.0,2022-04-03,10.7,
8420.0,47415.0,2022-04-03,10.7,
8421.0,47415.0,2022-04-04,11.9,
8421.0,47400.0,2022-04-04,11.9,
8422.0,47415.0,2022-04-05,12.0,
8422.0,47400.0,2022-04-05,12.0,
8423.0,47400.0,2022-04-06,10.8,
8423.0,47415.0,2022-04-06,10.8,
8424.0,47415.0,2022-04-07,10.55,
8424.0,47400.0,2022-04-07,10.55,
8425.0,47400.0,2022-04-08,10.0,
8425.0,47415.0,2022-04-08,10.0,
8426.0,47415.0,2022-04-09,9.7,
8426.0,47400.0,2022-04-09,9.7,
8427.0,47400.0,2022-04-10,9.75,
8427.0,47415.0,2022-04-10,9.75,
8428.0,47400.0,2022-04-11,9.5,
8428.0,47415.0,2022-04-11,9.5,
8429.0,47400.0,2022-04-12,9.4,
8429.0,47415.0,2022-04-12,9.4,
8430.0,47415.0,2022-04-13,13.1,
8430.0,47400.0,2022-04-13,13.1,
8431.0,47400.0,2022-04-14,14.3,
8431.0,47415.0,2022-04-14,14.3,
8432.0,47400.0,2022-04-15,13.7,
8432.0,47415.0,2022-04-15,13.7,
8433.0,47415.0,2022-04-16,12.8,
8433.0,47400.0,2022-04-16,12.8,
8434.0,47415.0,2022-04-17,12.4,
8434.0,47400.0,2022-04-17,12.4,
8435.0,47400.0,2022-04-18,12.2,
8435.0,47415.0,2022-04-18,12.2,
8436.0,47400.0,2022-04-19,12.3,
8436.0,47415.0,2022-04-19,12.3,
8437.0,47400.0,2022-04-20,11.25,
8437.0,47415.0,2022-04-20,11.25,
8438.0,47400.0,2022-04-21,10.9,
8438.0,47415.0,2022-04-21,10.9,
8439.0,47415.0,2022-04-22,10.3,
8439.0,47400.0,2022-04-22,10.3,
8440.0,47400.0,2022-04-23,9.25,
8440.0,47415.0,2022-04-23,9.25,
8441.0,47400.0,2022-04-24,9.0,
8441.0,47415.0,2022-04-24,9.0,
8442.0,47400.0,2022-04-25,10.35,
8442.0,47415.0,2022-04-25,10.35,
8443.0,47415.0,2022-04-26,11.05,
8443.0,47400.0,2022-04-26,11.05,
8444.0,47415.0,2022-04-27,11.25,
8444.0,47400.0,2022-04-27,11.25,
8445.0,47415.0,2022-04-28,11.3,
8445.0,47400.0,2022-04-28,11.3,
8446.0,47400.0,2022-04-29,10.75,
8446.0,47415.0,2022-04-29,10.75,
8447.0,47415.0,2022-04-30,11.35,
8447.0,47400.0,2022-04-30,11.35,
8449.0,47415.0,2022-05-01,11.7,
8449.0,47400.0,2022-05-01,11.7,
8450.0,47400.0,2022-05-02,10.65,
8450.0,47415.0,2022-05-02,10.65,
8451.0,47415.0,2022-05-03,11.45,
8451.0,47400.0,2022-05-03,11.45,
8452.0,47400.0,2022-05-04,11.2,
8452.0,47415.0,2022-05-04,11.2,
8453.0,47415.0,2022-05-05,12.4,
8453.0,47400.0,2022-05-05,12.4,
8454.0,47400.0,2022-05-06,12.5,
8454.0,47415.0,2022-05-06,12.5,
8455.0,47415.0,2022-05-07,12.7,
8455.0,47400.0,2022-05-07,12.7,
8456.0,47415.0,2022-05-08,13.35,
8456.0,47400.0,2022-05-08,13.35,
8457.0,47400.0,2022-05-09,13.65,
8457.0,47415.0,2022-05-09,13.65,
8458.0,47400.0,2022-05-10,13.85,
8458.0,47415.0,2022-05-10,13.85,
8459.0,47400.0,2022-05-11,16.6,
8459.0,47415.0,2022-05-11,16.6,
8460.0,47400.0,2022-05-12,15.35,
8460.0,47415.0,2022-05-12,15.35,
8461.0,47400.0,2022-05-13,14.15,
8461.0,47415.0,2022-05-13,14.15,
8462.0,47400.0,2022-05-14,12.9,
8462.0,47415.0,2022-05-14,12.9,
8463.0,47415.0,2022-05-15,12.9,
8463.0,47400.0,2022-05-15,12.9,
8464.0,47400.0,2022-05-16,12.15,
8464.0,47415.0,2022-05-16,12.15,
8465.0,47415.0,2022-05-17,13.2,
8465.0,47400.0,2022-05-17,13.2,
8466.0,47400.0,2022-05-18,14.15,
8466.0,47415.0,2022-05-18,14.15,
8467.0,47415.0,2022-05-19,13.1,
8467.0,47400.0,2022-05-19,13.1,
8468.0,47400.0,2022-05-20,13.7,
8468.0,47415.0,2022-05-20,13.7,
8469.0,47415.0,2022-05-21,12.6,
8469.0,47400.0,2022-05-21,12.6,
8470.0,47400.0,2022-05-22,13.0,
8470.0,47415.0,2022-05-22,13.0,
8471.0,47400.0,2022-05-23,13.0,
8471.0,47415.0,2022-05-23,13.0,
8472.0,47400.0,2022-05-24,11.75,
8472.0,47415.0,2022-05-24,11.75,
8473.0,47400.0,2022-05-25,14.55,
8473.0,47415.0,2022-05-25,14.55,
8474.0,47400.0,2022-05-26,14.1,
8474.0,47415.0,2022-05-26,14.1,
8475.0,47400.0,2022-05-27,13.05,
8475.0,47415.0,2022-05-27,13.05,
8476.0,47415.0,2022-05-28,14.05,
8476.0,47400.0,2022-05-28,14.05,
8477.0,47400.0,2022-05-29,13.9,
8477.0,47415.0,2022-05-29,13.9,
8478.0,47415.0,2022-05-30,14.2,
8478.0,47400.0,2022-05-30,14.2,
8479.0,47400.0,2022-05-31,13.55,
8479.0,47415.0,2022-05-31,13.55,
8481.0,47415.0,2022-06-01,15.9,
8481.0,47400.0,2022-06-01,15.9,
8482.0,47415.0,2022-06-02,15.5,
8482.0,47400.0,2022-06-02,15.5,
8483.0,47400.0,2022-06-03,14.55,
8483.0,47415.0,2022-06-03,14.55,
8484.0,47415.0,2022-06-04,12.6,
8484.0,47400.0,2022-06-04,12.6,
8485.0,47415.0,2022-06-05,12.6,
8485.0,47400.0,2022-06-05,12.6,
8486.0,47400.0,2022-06-06,12.3,
8486.0,47415.0,2022-06-06,12.3,
8487.0,47415.0,2022-06-07,11.65,
8487.0,47400.0,2022-06-07,11.65,
8488.0,47415.0,2022-06-08,12.7,
8488.0,47400.0,2022-06-08,12.7,
8489.0,47400.0,2022-06-09,11.75,
8489.0,47415.0,2022-06-09,11.75,
8490.0,47415.0,2022-06-10,11.8,
8490.0,47400.0,2022-06-10,11.8,
8491.0,47400.0,2022-06-11,11.7,
8491.0,47415.0,2022-06-11,11.7,
8492.0,47415.0,2022-06-12,11.45,
8492.0,47400.0,2022-06-12,11.45,
8493.0,47415.0,2022-06-13,9.65,
8493.0,47400.0,2022-06-13,9.65,
8494.0,47415.0,2022-06-14,8.75,
