id_waktu,id_lokasi,date,jumlah_produksi,id_unit_peternakan
8693,46315,2022-12-24,15.525,
8896,47415,2023-07-07,11.120000000000001,
9292,47415,2024-07-24,15.7,
9321,46315,2024-08-21,15.05,
9051,46315,2023-12-04,15.045000000000002,
8964,46315,2023-09-11,15.91,
9255,47415,2024-06-18,15.675,
8531,47400,2022-07-20,13.7,
9277,47415,2024-07-09,16.8,
8515,47415,2022-07-04,10.0,
8645,46315,2022-11-07,13.889999999999999,
9121,46315,2024-02-09,19.674999999999997,
8991,47415,2023-10-07,15.149999999999999,
8771,47415,2023-03-08,20.75,
8733,47400,2023-01-31,14.96,
8919,46315,2023-07-30,12.223333333333334,
8457,47400,2022-05-09,13.65,
8931,47415,2023-08-10,15.515,
8697,47415,2022-12-28,15.47,
8583,47400,2022-09-08,14.1,
8698,47415,2022-12-29,15.25,
9055,46315,2023-12-08,14.635,
8427,47400,2022-04-10,9.75,
9203,47415,2024-04-29,14.2,
8659,47415,2022-11-21,15.969999999999999,
8868,46315,2023-06-10,12.299999999999999,
9337,47415,2024-09-05,11.1,
8682,46315,2022-12-13,15.8,
8533,47400,2022-07-22,14.0,
8588,47400,2022-09-13,14.1,
8443,47400,2022-04-26,11.05,
8979,47415,2023-09-26,19.271666666666665,
8910,47588,2023-07-21,13.555,
8637,47415,2022-10-31,13.7,
8695,47415,2022-12-26,15.350000000000001,
9290,46315,2024-07-22,15.739999999999998,
8962,46315,2023-09-09,15.05,
8697,47400,2022-12-28,15.47,
8969,46315,2023-09-16,15.425,
8820,46315,2023-04-25,15.125,
8630,47400,2022-10-24,15.620000000000001,
8979,47588,2023-09-26,19.271666666666665,
8663,46315,2022-11-25,15.75,
9155,46315,2024-03-13,16.33,
8468,47400,2022-05-20,13.7,
9036,47415,2023-11-20,15.675,
9216,47415,2024-05-11,16.125,
8436,47400,2022-04-19,12.3,
8939,47810,2023-08-18,18.974999999999998,
8455,47415,2022-05-07,12.7,
8937,46315,2023-08-16,14.225,
8644,47415,2022-11-06,13.989999999999998,
8943,46315,2023-08-22,18.643333333333334,
8597,46315,2022-09-22,17.34,
8897,46315,2023-07-08,15.245,
8573,47415,2022-08-30,14.1,
8918,46315,2023-07-29,13.8,
8564,47400,2022-08-21,12.6,
9052,46315,2023-12-05,14.195,
8994,46315,2023-10-10,26.0225,
8708,46315,2023-01-06,12.594999999999999,
8894,47415,2023-07-05,168.2225,
8839,46315,2023-05-13,12.75,
8629,47415,2022-10-23,15.684999999999999,
8458,47400,2022-05-10,13.85,
8569,47400,2022-08-26,13.75,
9310,46315,2024-08-10,13.55,
8758,47415,2023-02-24,14.855,
8426,47415,2022-04-09,9.7,
8574,47400,2022-08-31,14.0,
8729,47415,2023-01-27,14.524999999999999,
9313,47415,2024-08-13,12.65,
9143,47415,2024-03-01,15.71,
8666,47400,2022-11-28,13.575,
8972,47810,2023-09-19,19.941666666666666,
9294,47415,2024-07-26,17.92,
8695,46315,2022-12-26,15.350000000000001,
8556,47400,2022-08-13,13.35,
9296,47415,2024-07-28,16.35,
8432,47415,2022-04-15,13.7,
8642,47415,2022-11-04,15.014999999999999,
9232,47415,2024-05-27,16.925,
9173,46315,2024-03-31,13.95,
8565,47400,2022-08-22,13.05,
8632,47415,2022-10-26,11.965,
8838,46315,2023-05-12,12.75,
8672,47415,2022-12-03,13.625,
8607,47415,2022-10-01,15.355,
9185,47415,2024-04-11,13.174999999999999,
8938,46315,2023-08-17,14.24,
8832,46315,2023-05-06,13.35,
8961,47415,2023-09-08,20.983333333333334,
9274,47415,2024-07-06,16.845,
8946,47588,2023-08-25,16.413333333333334,
9106,46315,2024-01-26,20.4,
8705,47415,2023-01-03,13.94,
8453,47415,2022-05-05,12.4,
8518,47400,2022-07-07,9.25,
8650,47415,2022-11-12,15.525,
8559,47400,2022-08-16,12.5,
9319,47415,2024-08-19,11.75,
9219,47415,2024-05-14,15.63,
9122,46315,2024-02-10,19.375,
9003,46315,2023-10-19,14.73,
9327,47415,2024-08-27,16.25,
8766,47415,2023-03-03,21.71666666666667,
8761,46315,2023-02-27,13.36,
8422,47400,2022-04-05,12.0,
8658,46315,2022-11-20,15.27,
8866,47415,2023-06-08,16.66,
8740,47415,2023-02-06,15.3,
9341,47415,2024-09-09,13.0,
8971,46315,2023-09-18,14.975,
9266,47415,2024-06-29,16.225,
8581,47415,2022-09-06,13.9,
8578,47400,2022-09-03,14.85,
8455,47400,2022-05-07,12.7,
8806,46315,2023-04-11,14.77,
8998,47415,2023-10-14,14.31,
9124,47415,2024-02-12,18.82,
8824,47415,2023-04-29,14.549999999999999,
8564,47415,2022-08-21,12.6,
8827,47415,2023-05-01,13.985000000000001,
8770,47400,2023-03-07,21.72,
9007,46315,2023-10-23,13.774999999999999,
8990,46315,2023-10-06,20.0,
8492,47400,2022-06-12,11.45,
8790,47415,2023-03-27,17.513333333333335,
9272,46315,2024-07-04,17.05,
9060,47415,2023-12-13,14.825000000000001,
9249,46315,2024-06-12,13.675,
8868,44843,2023-06-10,12.299999999999999,
8780,47400,2023-03-17,20.55,
9242,46315,2024-06-05,15.82,
9257,46315,2024-06-20,16.615,
8609,47400,2022-10-03,14.985,
8765,47810,2023-03-02,13.873333333333335,
9155,47415,2024-03-13,16.33,
9134,47415,2024-02-22,17.924999999999997,
8954,47588,2023-09-01,16.233333333333334,
9140,46315,2024-02-28,15.075,
9331,47415,2024-08-31,16.3,
8837,46315,2023-05-11,13.09,
8705,46315,2023-01-03,13.94,
8607,46315,2022-10-01,15.355,
8707,47415,2023-01-05,13.615,
9058,46315,2023-12-11,12.39,
8943,47810,2023-08-22,18.643333333333334,
8507,47415,2022-06-27,10.15,
9188,47415,2024-04-14,13.879999999999999,
8674,47415,2022-12-05,13.7,
8754,47810,2023-02-20,10.690000000000001,
8761,47415,2023-02-27,13.36,
8972,47415,2023-09-19,19.941666666666666,
9286,47415,2024-07-18,15.8,
8682,47415,2022-12-13,15.8,
9213,47415,2024-05-08,17.245,
8911,47415,2023-07-22,15.93,
8525,47400,2022-07-14,9.6,
8517,47415,2022-07-06,9.25,
9064,46315,2023-12-17,14.5,
8939,47588,2023-08-18,18.974999999999998,
8689,47415,2022-12-20,16.235,
8651,47415,2022-11-13,14.725000000000001,
8747,47415,2023-02-13,15.05,
8561,47400,2022-08-18,12.35,
8452,47400,2022-05-04,11.2,
8853,47415,2023-05-27,11.535,
8952,46315,2023-08-31,15.225,
8801,47415,2023-04-06,15.665,
8519,47415,2022-07-08,8.1,
8643,47400,2022-11-05,15.2,
8768,47415,2023-03-05,22.53333333333333,
8676,46315,2022-12-07,15.1,
8919,47415,2023-07-30,12.223333333333334,
9216,46315,2024-05-11,16.125,
8930,46315,2023-08-09,15.605,
8546,47415,2022-08-03,12.75,
8668,46315,2022-11-30,13.285,
8946,47810,2023-08-25,16.413333333333334,
9247,46315,2024-06-10,15.549999999999999,
8461,47415,2022-05-13,14.15,
9285,46315,2024-07-17,14.5,
8466,47415,2022-05-18,14.15,
9075,47415,2023-12-28,17.35,
9090,47415,2024-01-10,18.025,
8814,46315,2023-04-19,12.95,
9068,47415,2023-12-21,15.850000000000001,
9033,47415,2023-11-17,15.45,
8982,47415,2023-09-29,20.463333333333335,
8820,47415,2023-04-25,15.125,
9204,46315,2024-04-30,15.705,
9087,46315,2024-01-07,17.8,
8747,47400,2023-02-13,15.05,
8926,47415,2023-08-05,14.5,
8999,47415,2023-10-15,14.225,
8977,47415,2023-09-24,15.3,
8698,47415,2022-12-29,15.25,
9229,47415,2024-05-24,16.715,
9289,46315,2024-07-21,16.65,
9164,46315,2024-03-22,14.6,
9317,47415,2024-08-17,11.15,
8916,47415,2023-07-27,15.425,
9093,47415,2024-01-13,15.600000000000001,
9245,47415,2024-06-08,15.735,
8873,46315,2023-06-15,72.58999999999999,
9160,46315,2024-03-18,17.244999999999997,
8684,47415,2022-12-15,15.725,
8567,47415,2022-08-24,14.0,
8705,47415,2023-01-03,13.94,
9083,47415,2024-01-03,16.775,
8779,46315,2023-03-16,20.146666666666665,
9100,47415,2024-01-20,20.5,
8862,47415,2023-06-04,13.850000000000001,
9197,47415,2024-04-23,14.015,
8846,47415,2023-05-20,12.2,
9269,46315,2024-07-01,17.215,
8769,47400,2023-03-06,21.46666666666667,
8652,46315,2022-11-14,15.84,
9313,46315,2024-08-13,12.65,
8914,47415,2023-07-25,10.5,
8930,47415,2023-08-09,15.605,
9147,46315,2024-03-05,16.25,
8717,47415,2023-01-15,14.165,
8816,46315,2023-04-21,15.39,
8722,47415,2023-01-20,9.475,
8642,47400,2022-11-04,15.014999999999999,
9002,47415,2023-10-18,15.49,
9027,47415,2023-11-11,16.025,
8898,47415,2023-07-09,14.625,
8767,47400,2023-03-04,22.0,
8793,47400,2023-03-30,18.21,
8616,47415,2022-10-10,16.8,
9227,46315,2024-05-22,16.62,
8758,46315,2023-02-24,14.855,
8474,47415,2022-05-26,14.1,
9022,47415,2023-11-06,15.98,
9202,46315,2024-04-28,14.785,
8597,47415,2022-09-22,17.34,
8435,47400,2022-04-18,12.2,
8489,47400,2022-06-09,11.75,
9004,47415,2023-10-20,15.921666666666667,
8634,47415,2022-10-28,14.200000000000001,
8421,47415,2022-04-04,11.9,
8791,47400,2023-03-28,17.26666666666667,
8437,47400,2022-04-20,11.25,
8891,47415,2023-07-02,121.296,
9132,46315,2024-02-20,18.21,
8786,47400,2023-03-23,18.7,
8494,47400,2022-06-14,8.75,
8854,46315,2023-05-28,11.5,
9327,46315,2024-08-27,16.25,
8422,47415,2022-04-05,12.0,
8907,47810,2023-07-18,13.375,
8862,46315,2023-06-04,13.850000000000001,
8868,47415,2023-06-10,12.299999999999999,
8429,47400,2022-04-12,9.4,
8625,46315,2022-10-19,16.145,
8882,46315,2023-06-24,15.9,
8975,47810,2023-09-22,16.688333333333333,
8425,47400,2022-04-08,10.0,
8684,47415,2022-12-15,15.725,
8593,47400,2022-09-18,16.78,
9208,47415,2024-05-03,16.45,
8859,46315,2023-06-01,12.525,
8896,47588,2023-07-07,11.120000000000001,
9290,47415,2024-07-22,15.739999999999998,
8441,47415,2022-04-24,9.0,
8819,46315,2023-04-24,16.125,
9264,47415,2024-06-27,16.095,
8434,47400,2022-04-17,12.4,
9164,47415,2024-03-22,14.6,
8676,47400,2022-12-07,15.1,
8460,47415,2022-05-12,15.35,
9262,46315,2024-06-25,16.75,
8621,47400,2022-10-15,15.575000000000001,
8678,47415,2022-12-09,16.225,
8722,47400,2023-01-20,9.475,
9145,46315,2024-03-03,16.31,
8525,47415,2022-07-14,9.6,
9212,46315,2024-05-07,17.07,
8739,47415,2023-02-05,15.415,
8815,47415,2023-04-20,13.1,
8628,47415,2022-10-22,16.02,
8673,47400,2022-12-04,13.25,
8716,47415,2023-01-14,13.445,
8794,46315,2023-03-31,17.836666666666666,
8707,47400,2023-01-05,13.615,
8526,47400,2022-07-15,12.5,
9050,46315,2023-12-03,15.879999999999999,
8521,47400,2022-07-10,8.6,
8699,46315,2022-12-30,14.795,
8627,46315,2022-10-21,16.275,
8781,46315,2023-03-18,20.726666666666667,
8719,46315,2023-01-17,13.15,
8890,47415,2023-07-01,11.129999999999999,
8685,47400,2022-12-16,15.11,
8869,47810,2023-06-11,14.799999999999999,
8952,47415,2023-08-31,15.225,
8872,47415,2023-06-14,14.773333333333333,
8877,46315,2023-06-19,13.416666666666666,
8423,47400,2022-04-06,10.8,
9056,46315,2023-12-09,15.495000000000001,
9039,46315,2023-11-23,15.415,
8968,47588,2023-09-15,18.695,
8728,47400,2023-01-26,14.975,
9200,47415,2024-04-26,13.54,
8948,47415,2023-08-27,13.95,
9086,46315,2024-01-06,17.27,
9050,47415,2023-12-03,15.879999999999999,
8988,47415,2023-10-04,14.719999999999999,
8878,46315,2023-06-20,15.235,
8834,46315,2023-05-08,12.95,
8703,46315,2023-01-01,15.055,
8626,46315,2022-10-20,15.595,
8696,47415,2022-12-27,15.139999999999999,
8668,47415,2022-11-30,13.285,
9328,47415,2024-08-28,15.625,
8882,47415,2023-06-24,15.9,
8975,47588,2023-09-22,16.688333333333333,
